nama_produk,kategori,username,rating,ulasan,tanggal
POCO C71,handphone,Dian,5,"Pelayanan Toko Gercep, Pengiriman Cepat, Paking aman, Barang Datang masih segel utuh. Qualitas Barang Original, Dapet harga 900 an RAM 4 GB + 4 GB ROM 128GB lumayan bes...",6 bulan lalu
POCO C71,handphone,Nizam,5,Paket mendarat dengan selamat.. packing rapih dan aman.. Seller fast response.. produk sesuai ekspektasi.. dan.. ADA CHARGER nya.. ADA CHARGER nya.. Spesifikasi sangat co...,Lebih dari 1 tahun lalu
POCO C71,handphone,Delfaq,5,"produk diterima dengan baik, packing juga aman, masih tersegel pasti garansi aman, spesifikasi cukup buat orang tua, benar benar simple jadi bingung juga yang biasa pakai...",11 bulan lalu
POCO C71,handphone,T***o,5,"barang segel, packing baik dalam ditambah burble wrap, berfungsi dengan baik. original beli di toko resmi. pengiriman lumayan cepat via JNE. warna sesuai pemakaian oke, l...",11 bulan lalu
POCO C71,handphone,L***I,5,"Barang masih tersegel saat sampai, packing safety. pas unboxing mulus bisa nyalah & digunakan. Free softcase didalam nya, carger lengkap berfungsi warna bagus 👌🏻 ha...",5 bulan lalu
POCO C71,handphone,Aminatur,5,"Bener2 was was awalnya, pesen Sabtu dan baru dikirim hari selasa. Takut gak dikirim, takut gak ori, takut ini dan itu. Tapi pas dateng. Barangnya sesuai, ori betul dan la...",11 bulan lalu
POCO C71,handphone,R***W,5,Barang masih disegel dan original. Hp dalam kondisi baik dan kelengkapannya aman. Kartu garansi ada dan ditambahkan silikon protektor. Pengemasannya terjaga dan dikirim d...,9 bulan lalu
POCO C71,handphone,Dimas,5,"Barang yang dikirim sesuai dengan pesanan, barangnya utuh tidak ada minus masih segel rapih, oke bangett buat harga segitu, ram 4 sih tapi internal nya 128Gb cukup lah bu...",7 bulan lalu
POCO C71,handphone,A***f,5,"Barang sampai warna case sangat ok HP satu jutaan yang cocok buat daily use gaming tipis"" ok tapi jangan sampai digembor abis abisan kamera yang bisa dibilang ok wal...",11 bulan lalu
POCO C71,handphone,andhini,5,"barang ORI, masih disegel, spesifikasi sesuai deskripsi, ada kartu garansi, stiker, dll, semoga awet, tenkyu seller...",Lebih dari 1 tahun lalu
POCO C71,handphone,W***y,5,"barang sesuai dengan pesanan, waktu pengiriman sesuai estimasi, original barang segel kartu garansi disertakan",11 bulan lalu
POCO C71,handphone,Gita,5,"Barang dikirim dengan baik, sudah sampai dengan selamat. Pengiriman cepat, kelengkapan barang lengkap, dan semoga berfungsi dengan baik dan awet.",Lebih dari 1 tahun lalu
POCO C71,handphone,Roykhan,5,barang masih segel dan original waktu sampai paking rapi aman dan oke banget lah di kelas 1jutaan,6 bulan lalu
POCO C71,handphone,khoirul,5,"barang baru, masih segel, berfungsi dengan baik, mudah mudahan awet, pengiriman sesuai estimasi",12 bulan lalu
POCO C71,handphone,N***a,5,"cakeppp , poco memang sip , value for money, packaging aman , pengiriman cepat , barang ori dari official store",12 bulan lalu
POCO C71,handphone,Dany,5,"sipp, mantap cadas..sudah datang, barang original, kemasan pengiriman oke punya, aman sampai tujuan ga neko neko.. like always thanks official store..thumbs up",2 bulan lalu
POCO C71,handphone,Faizal,5,"Barang masih disegel, sampai dengan cepat baru kmren pesen langsung sampe, packingnya jga rapi dan barang sesuai semua udah di cobain berfungsi dengan baik mantap pokokny...",6 bulan lalu
POCO C71,handphone,Abdul,5,Barang masih disegel waktu sampai & ada garansi resminya ✨ Berfungsi dengan baik! Kualitas barang original pasti top,6 bulan lalu
POCO C71,handphone,achmad,5,"sudah keempat kali berbelanja di seller ini, produk sesuai gambar pengiriman cepat, harga aman laah, produk sampai dengan aman, packing aman, kelengkapan ada semua, terim...",6 bulan lalu
POCO C71,handphone,Aldi,5,"Alhamdulillaah, barang sampai dengan baik sesuai orderan, packing cukup rapi. Sudah langganan beli di sini, proses order cepat, selalu dapat bonus softcase atau antigores...",9 bulan lalu
POCO C71,handphone,A***l,5,"barang diterima dengan baik, kondisi segel, kelengkapan sesuai dengan deskripsi, semua berfungsi dengan baik. packing oke, terimakasih seller, rekomen 😎",8 bulan lalu
POCO C71,handphone,Ali,5,Sudah puluhan Hp belanja di toko ini selalu Memuaskan Barang Original IMEI Resmi Terdaftar Kenmenprin ... Kamera jernih,1 bulan lalu
POCO C71,handphone,H***o,5,"pokoknya puas dan dateng masih pada segel pokomya mantul deh ,cuma lama dipengirimannya aja dikit tapi gpp yg penting sampe dengan selamag ya",Lebih dari 1 tahun lalu
POCO C71,handphone,Jumail,5,"barang masih di segel, dan bahan sesuai dengan spek yg di pesan. semoga selalu amanah.....",12 bulan lalu
POCO C71,handphone,Gandhi,5,"Mantap sesuai pesanan, packagingny aman banget, brg ga ada cacat, qualitas original XIAOMI POCO💯%, sesuai ekspektasi, semoga awet 😆👍 puas dgn pelayanan pelapak ini,...",7 bulan lalu
POCO C71,handphone,a***a,5,Barang masih segel waktu sampai & ada garansinya. Kualitas barang sangat bagus dan berfungsi dg baik. Terimakasih seller dan kurir,9 bulan lalu
POCO C71,handphone,C***a,5,alhamdulillaah bayar telat tapi berkesempatan dikirim kemarin juga dan siang tadi sudah tiba.. papaku senang jadi bisa akses ke banyak app.. selama ini hanya pakai androi...,7 bulan lalu
POCO C71,handphone,H***o,5,ok banget ini udh beli yg ke 3 dan selalu puas dan barabgbya bagus deh mantullllpakai banget,Lebih dari 1 tahun lalu
POCO C71,handphone,Abu,5,"fire sht, it's a very good Price to Performance phone",12 bulan lalu
POCO C71,handphone,D***i,4,"Barang masih disegel saat sampai, gatau kelengkapan didalamnya gimana karena belum dibuka. sayang sekali tidak bisa meminta unvoice resmi dari xiaominya pdhl di kertas ad...",7 bulan lalu
POCO C71,handphone,Alief,4,yg hrs diperhatikan 1. penjual ga responsih 2. ekspedisi gabanget ayolah pasti bisa lebih baik btw ini hp mayan buat fungsi yg ringan²,11 bulan lalu
POCO C71,handphone,A***r,4,"untuk barang allhamdulillah sudah pakai 2/3 hari gada masalah semoga awet kedepannya,, untuk pengiriman 4/5 hari standar reguler menurut ku,, kualitas packing ngan nya pe...",6 bulan lalu
POCO C71,handphone,Pupu,4,"dua hari sampai gak ada kendala mantap, hanya saja paking nya ringkih hanya memakai dus, tengkyu saya suka ,moga barokah dan awet",9 bulan lalu
POCO C71,handphone,J***i,4,"barang diterima dengan baik, cukup lah untuk orang tua",9 bulan lalu
POCO C71,handphone,Selvia,4,"Produknya bagus bagus aja kualitas sesuai harga, yg gak bagus jasa kirimnya lemot bgt 2 minggu lebih baru nyampe rumah, CS nya juga kureng gak fast respon, udah chat seja...",1 minggu lalu
POCO C71,handphone,I***m,4,paket sudah sampai. terima kasih.,8 bulan lalu
POCO C71,handphone,A***a,4,oke sesuai terimakasih,9 bulan lalu
POCO C71,handphone,z***l,4,bagus,3 minggu lalu
POCO C71,handphone,Mohsahruel,4,sebadan dengan harga lumayan cuma dari kamera kurng bagus,6 bulan lalu
